player_id,market_value_in_eur,log_market_value,valuation_date,current_club_name,comp_id
60890,200000,12.206077645517674,2023-10-25,Without Club,ES1
60957,500000,13.122365377402328,2024-05-29,SV Darmstadt 98,L1
61087,1000000,13.815511557963774,2023-10-25,Without Club,L1
61253,800000,13.592368256649284,2024-06-07,Granada CF,ES1
61546,200000,12.206077645517674,2023-07-04,CA Boca Juniors,ES1
61592,700000,13.45883704259595,2024-05-27,Crystal Palace,GB1
61697,900000,13.710151153416941,2024-05-27,Sheffield United,GB1
61812,1800000,14.403297778421795,2024-06-07,Athletic Bilbao,ES1
61841,1000000,13.815511557963774,2024-05-27,AFC Bournemouth,GB1
61842,1800000,14.403297778421795,2024-05-27,Luton Town,GB1
61891,1000000,13.815511557963774,2023-07-25,Grêmio Foot-Ball Porto Alegrense,FR1
61989,300000,12.611541086966115,2024-05-29,VfL Bochum,L1
62008,600000,13.304686600863562,2023-10-25,Without Club,GB1
62054,25000,10.12667110305036,2023-11-08,KÍ Klaksvík,GB1
62351,400000,12.899222326086994,2024-06-11,Angers SCO,FR1
62920,1000000,13.815511557963774,2023-10-13,RCD Espanyol Barcelona,ES1
62945,500000,13.122365377402328,2024-06-07,Cádiz CF,ES1
62947,150000,11.918397239722838,2023-10-13,AD Ceuta FC,GB1
63056,1000000,13.815511557963774,2023-11-28,Gol Gohar Sirjan FC,ES1
63186,1800000,14.403297778421795,2023-10-25,Without Club,IT1
63200,500000,13.122365377402328,2024-05-24,Norwich City,GB1
63494,1500000,14.220976332738882,2024-06-07,Villarreal CF,ES1
63833,300000,12.611541086966115,2023-09-25,Uthai Thani FC,L1
63899,150000,11.918397239722838,2023-09-20,FK Pribram,IT1
64399,800000,13.592368256649284,2024-06-07,Celta de Vigo,ES1
64545,25000,10.12667110305036,2023-07-10,Danubio FC,ES1
64598,1200000,13.997832948091215,2023-12-22,Girona FC,ES1
64793,800000,13.592368256649284,2024-06-05,Cagliari Calcio,IT1
65233,250000,12.429220196836383,2023-09-25,BG Pathum United,ES1
65237,450000,13.017005083966255,2023-08-22,Sporting Kansas City,ES1
65278,1000000,13.815511557963774,2024-06-05,SS Lazio,IT1
65318,900000,13.710151153416941,2024-06-07,RCD Mallorca,ES1
65331,100000,11.51293546492023,2023-10-13,Hércules CF,ES1
66100,2000000,14.508658238524095,2024-06-07,FC Barcelona,ES1
66109,200000,12.206077645517674,2023-10-19,FC Zürich,IT1
66110,250000,12.429220196836383,2023-10-13,Barakaldo CF ,ES1
66112,200000,12.206077645517674,2023-11-29,Sacramento Republic FC,ES1
66923,500000,13.122365377402328,2023-10-25,Without Club,GB1
66934,1000000,13.815511557963774,2024-05-27,Nottingham Forest,GB1
67063,5000000,15.424948670398354,2024-05-27,Brighton & Hove Albion,GB1
67082,100000,11.51293546492023,2024-06-07,Atlético de Madrid,ES1
67431,100000,11.51293546492023,2023-12-05,Wisla Kraków,GB1
67546,1200000,13.997832948091215,2023-10-13,SD Huesca,ES1
67548,700000,13.45883704259595,2023-10-25,Without Club,ES1
67556,1500000,14.220976332738882,2024-06-05,AC Monza,IT1
67808,800000,13.592368256649284,2024-06-07,Girona FC,ES1
67864,150000,11.918397239722838,2023-11-27,Associação Chapecoense de Futebol,IT1
68390,500000,13.122365377402328,2024-05-27,Everton FC,GB1
68864,800000,13.592368256649284,2024-06-05,Genoa CFC,IT1
69001,200000,12.206077645517674,2023-10-25,Without Club,GB1
69633,8000000,15.894952224644102,2024-05-27,Manchester United,GB1
69660,500000,13.122365377402328,2023-10-25,Without Club,ES1
70203,175000,12.07254696717504,2023-11-29,FK Banga Gargzdai,IT1
70243,2500000,14.731801689838349,2023-10-20,Hannover 96,L1
70245,1200000,13.997832948091215,2024-06-07,Granada CF,ES1
70285,600000,13.304686600863562,2023-09-11,SC Austria Lustenau,L1
70411,1500000,14.220976332738882,2024-06-05,Hellas Verona,IT1
70580,300000,12.611541086966115,2024-06-05,Inter Milan,IT1
71096,150000,11.918397239722838,2023-08-22,Sporting Kansas City,GB1
71271,600000,13.304686600863562,2024-05-27,Liverpool FC,GB1
71905,300000,12.611541086966115,2023-10-13,Atlético Sanluqueño,ES1
71918,300000,12.611541086966115,2023-10-13,FC Cartagena,ES1
72047,3000000,14.914123179965662,2024-06-07,Celta de Vigo,ES1
72121,500000,13.122365377402328,2024-06-03,Clermont Foot 63,FR1
72414,150000,11.918397239722838,2024-06-03,Stade Rennais FC,FR1
72441,2500000,14.731801689838349,2024-06-05,Atalanta BC,IT1
72476,13000000,16.380459992348886,2024-05-27,Fulham FC,GB1
72519,800000,13.592368256649284,2023-08-22,New England Revolution,L1
72578,100000,11.51293546492023,2023-07-10,Danubio FC,FR1
72587,25000,10.12667110305036,2023-07-10,Danubio FC,IT1
73185,600000,13.304686600863562,2024-06-24,Deportivo de La Coruña,ES1
73517,1400000,14.151983508870947,2024-06-07,Sevilla FC,ES1
73547,1000000,13.815511557963774,2024-05-27,Sheffield United,GB1
73564,3500000,15.068273812173887,2024-05-27,Brighton & Hove Albion,GB1
73794,8000000,15.894952224644102,2024-06-05,Torino FC,IT1
73926,1500000,14.220976332738882,2024-06-05,ACF Fiorentina,IT1
74229,12000000,16.300417291085605,2024-06-07,Atlético de Madrid,ES1
74230,10000000,16.118095750958314,2024-05-27,Wolverhampton Wanderers,GB1
74232,100000,11.51293546492023,2023-07-10,CA Peñarol,ES1
74294,3500000,15.068273812173887,2024-06-07,Sevilla FC,ES1
74297,1200000,13.997832948091215,2024-06-11,Amiens SC,FR1
74300,2000000,14.508658238524095,2023-10-12,Shabab Al-Ahli Club,GB1
74683,3000000,14.914123179965662,2024-06-03,Olympique Lyon,FR1
74810,1000000,13.815511557963774,2024-05-27,Brentford FC,GB1
74842,5500000,15.520258832020865,2024-05-29,Eintracht Frankfurt,L1
74857,28000000,17.147715103853763,2024-06-07,FC Barcelona,ES1
74869,1500000,14.220976332738882,2024-06-07,Villarreal CF,ES1
74960,1000000,13.815511557963774,2024-05-27,Newcastle United,GB1
75058,200000,12.206077645517674,2023-10-25,Without Club,FR1
75067,1800000,14.403297778421795,2023-10-27,Leeds United,GB1
75411,200000,12.206077645517674,2024-06-05,Juventus FC,IT1
75458,1500000,14.220976332738882,2024-05-27,Aston Villa,GB1
75471,250000,12.429220196836383,2023-12-21,Swansea City,GB1
75489,15000000,16.52356082573315,2024-05-29,Borussia Dortmund,L1
75611,250000,12.429220196836383,2023-11-29,FK Zalgiris Vilnius,IT1
75921,600000,13.304686600863562,2024-05-29,1.FC Union Berlin,L1
76055,100000,11.51293546492023,2023-10-19,Servette FC,FR1
76158,800000,13.592368256649284,2024-05-29,Borussia Dortmund,L1
76163,1000000,13.815511557963774,2024-06-03,US Cremonese,IT1
76273,200000,12.206077645517674,2023-10-25,Without Club,ES1
76467,1400000,14.151983508870947,2024-06-07,Villarreal CF,ES1
76598,25000,10.12667110305036,2023-07-10,Club Atlético Cerro,IT1
76657,50000,10.819798284210286,2023-07-01,FC Hansa Rostock II,L1
76743,300000,12.611541086966115,2023-08-22,Real Salt Lake City,ES1
76746,1000000,13.815511557963774,2023-12-22,Getafe CF,ES1
77003,100000,11.51293546492023,2023-10-27,Pau FC,IT1
77038,25000,10.12667110305036,2023-09-11,UD Alzira,ES1
77207,150000,11.918397239722838,2023-07-07,Without Club,ES1
77262,350000,12.765691290604371,2023-11-27,Ceará Sporting Club,ES1
77737,600000,13.304686600863562,2023-10-25,Without Club,ES1
77757,3000000,14.914123179965662,2024-05-27,Luton Town,GB1
77760,2500000,14.731801689838349,2023-08-22,CF Montréal,GB1
77812,1000000,13.815511557963774,2024-05-29,SV Darmstadt 98,L1
77825,500000,13.122365377402328,2024-06-05,FC Empoli,IT1
77826,1200000,13.997832948091215,2023-10-26,Ohod Club,FR1
77932,250000,12.429220196836383,2023-07-14,SD Aucas,ES1
77947,150000,11.918397239722838,2023-10-04,Greifswalder FC,L1
78506,1000000,13.815511557963774,2023-07-10,Club Nacional,IT1
78950,800000,13.592368256649284,2023-10-06,Rakow Czestochowa,L1
78966,450000,13.017005083966255,2023-10-25,Without Club,GB1
79045,400000,12.899222326086994,2024-06-03,Spezia Calcio,IT1
79377,500000,13.122365377402328,2024-05-29,VfB Stuttgart,L1
79422,1500000,14.220976332738882,2024-06-03,Paris Saint-Germain,FR1
79960,2000000,14.508658238524095,2024-06-05,Juventus FC,IT1
79967,350000,12.765691290604371,2024-06-06,FC St. Pauli,L1
80031,500000,13.122365377402328,2023-09-26,CSD Colo Colo,L1
80293,1800000,14.403297778421795,2024-06-07,Villarreal CF,ES1
80894,3500000,15.068273812173887,2024-06-05,Bologna FC 1909,IT1
81056,175000,12.07254696717504,2023-07-04,CA Banfield,FR1
81173,2000000,14.508658238524095,2024-05-29,RB Leipzig,L1
81512,1000000,13.815511557963774,2024-06-05,Udinese Calcio,IT1
81698,150000,11.918397239722838,2023-12-05,FC Admira Wacker Mödling,L1
81997,700000,13.45883704259595,2024-06-07,UD Almería,ES1
81999,5000000,15.424948670398354,2024-06-07,Real Madrid,ES1
82009,4000000,15.201805169084134,2024-05-29,1.FC Union Berlin,L1
82048,1000000,13.815511557963774,2024-06-05,US Lecce,IT1
82070,800000,13.592368256649284,2024-06-05,SSC Napoli,IT1
82097,1700000,14.346139397261565,2024-05-29,Borussia Mönchengladbach,L1
82105,8000000,15.894952224644102,2024-05-27,Liverpool FC,GB1
82110,150000,11.918397239722838,2023-10-25,Without Club,L1
82113,1800000,14.403297778421795,2023-08-22,Austin FC,L1
82350,800000,13.592368256649284,2024-05-29,1.FSV Mainz 05,L1
82442,3000000,14.914123179965662,2024-06-05,AC Milan,IT1
82503,800000,13.592368256649284,2024-06-07,Rayo Vallecano,ES1
82873,8000000,15.894952224644102,2024-05-27,Brighton & Hove Albion,GB1
83132,300000,12.611541086966115,2023-10-27,EA Guingamp,FR1
83877,350000,12.765691290604371,2023-10-25,Without Club,IT1
84085,250000,12.429220196836383,2024-06-11,Paris FC,FR1
84133,175000,12.07254696717504,2023-07-19,Monagas SC,ES1
84150,800000,13.592368256649284,2023-08-22,Chicago Fire FC,L1
84301,8000000,15.894952224644102,2024-06-03,LOSC Lille,FR1
84435,2000000,14.508658238524095,2024-05-29,1.FC Union Berlin,L1
84765,1000000,13.815511557963774,2024-06-05,FC Empoli,IT1
84993,700000,13.45883704259595,2024-06-06,Hamburger SV,L1
85000,500000,13.122365377402328,2023-10-20,Bandirmaspor,L1
85177,1500000,14.220976332738882,2024-05-27,Crystal Palace,GB1
85201,150000,11.918397239722838,2023-11-29,Phoenix Rising FC,L1
85240,100000,11.51293546492023,2023-12-20,AC Monza,IT1
85258,400000,12.899222326086994,2023-10-13,Deportivo de La Coruña,ES1
85288,8000000,15.894952224644102,2024-06-07,Real Betis Balompié,ES1
85295,2000000,14.508658238524095,2024-06-07,Rayo Vallecano,ES1
85370,2500000,14.731801689838349,2024-06-07,FC Barcelona,ES1
