,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
54,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,19-361,2006,10.6,,,,,,,,,,,,,,,,,,,,,Matches
55,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-310,2001,8.7,,,,,,,,,,,,,,,,,,,,,Matches
56,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,27-290,1998,10,,,,,,,,,,,,,,,,,,,,,Matches
57,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21-183,2004,0,,,,,,,,,,,,,,,,,,,,,Matches
58,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-360,1998,18.1,,,,,,,,,,,,,,,,,,,,,Matches
59,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,32-046,1994,25.3,,,,,,,,,,,,,,,,,,,,,Matches
60,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30-267,1995,27.3,,,,,,,,,,,,,,,,,,,,,Matches
61,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,31-053,1995,5.5,,,,,,,,,,,,,,,,,,,,,Matches
62,Ilias Akhomach,ma MAR,MF,Villarreal,es La Liga,21-361,2004,2.1,,,,,,,,,,,,,,,,,,,,,Matches
63,Ilias Akhomach,ma MAR,MF,Rayo Vallecano,es La Liga,21-361,2004,5.8,,,,,,,,,,,,,,,,,,,,,Matches
64,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,21-138,2004,11.7,,,,,,,,,,,,,,,,,,,,,Matches
65,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,24-046,2002,22.1,,,,,,,,,,,,,,,,,,,,,Matches
66,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,24-139,2001,20.2,,,,,,,,,,,,,,,,,,,,,Matches
67,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33-183,1992,12.1,,,,,,,,,,,,,,,,,,,,,Matches
68,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-358,1995,0.5,,,,,,,,,,,,,,,,,,,,,Matches
69,Al-Musrati,ly LBY,MF,Hellas Verona,it Serie A,30-006,1996,8.7,,,,,,,,,,,,,,,,,,,,,Matches
70,David Alaba,at AUT,DF,Real Madrid,es La Liga,33-292,1992,2.7,,,,,,,,,,,,,,,,,,,,,Matches
71,Agustín Albarracín,uy URU,FW,Cagliari,it Serie A,20-226,2005,0.2,,,,,,,,,,,,,,,,,,,,,Matches
72,Raúl Albiol,es ESP,DF,Pisa,it Serie A,40-220,1985,5.6,,,,,,,,,,,,,,,,,,,,,Matches
73,Carlos Alcaraz,ar ARG,MF,Everton,eng Premier League,23-133,2002,7.5,,,,,,,,,,,,,,,,,,,,,Matches
74,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,29-107,1996,26.2,,,,,,,,,,,,,,,,,,,,,Matches
75,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,28-011,1998,8.8,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
76,Carles Aleñá,es ESP,MF,Alavés,es La Liga,28-097,1998,20.8,,,,,,,,,,,,,,,,,,,,,Matches
77,Trent Alexander-Arnold,eng ENG,"DF,MF",Real Madrid,es La Liga,27-187,1998,8.4,,,,,,,,,,,,,,,,,,,,,Matches
78,Alfon,es ESP,FW,Villarreal,es La Liga,26-343,1999,0.9,,,,,,,,,,,,,,,,,,,,,Matches
79,Alfon,es ESP,MF,Sevilla,es La Liga,26-343,1999,3.5,,,,,,,,,,,,,,,,,,,,,Matches
80,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,22-083,2004,13.9,,,,,,,,,,,,,,,,,,,,,Matches
81,Alisson,br BRA,GK,Liverpool,eng Premier League,33-192,1992,25,,,,,,,,,,,,,,,,,,,,,Matches
82,Jim Allevinah,ga GAB,MF,Angers,fr Ligue 1,31-044,1995,1.5,,,,,,,,,,,,,,,,,,,,,Matches
83,Max Alleyne,eng ENG,DF,Manchester City,eng Premier League,20-265,2005,1.5,,,,,,,,,,,,,,,,,,,,,Matches
84,Thiago Almada,ar ARG,MF,Atlético Madrid,es La Liga,24-351,2001,12.1,,,,,,,,,,,,,,,,,,,,,Matches
85,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,25-317,2000,11.1,,,,,,,,,,,,,,,,,,,,,Matches
86,Pontus Almqvist,se SWE,MF,Parma,it Serie A,26-276,1999,4.4,,,,,,,,,,,,,,,,,,,,,Matches
87,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,35-105,1990,23.9,,,,,,,,,,,,,,,,,,,,,Matches
88,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,25-015,2001,0.1,,,,,,,,,,,,,,,,,,,,,Matches
89,Sergi Altimira,es ESP,MF,Real Betis,es La Liga,24-230,2001,11.5,,,,,,,,,,,,,,,,,,,,,Matches
90,Carlos Álvarez,es ESP,MF,Levante,es La Liga,22-249,2003,19.8,,,,,,,,,,,,,,,,,,,,,Matches
91,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,es La Liga,22-284,2003,11.2,,,,,,,,,,,,,,,,,,,,,Matches
92,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,26-071,2000,21.1,,,,,,,,,,,,,,,,,,,,,Matches
93,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,31-078,1995,0.7,,,,,,,,,,,,,,,,,,,,,Matches
94,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,23-343,2002,0.4,,,,,,,,,,,,,,,,,,,,,Matches
95,Ayoube Amaimouni Echghouyab,ma MAR,"MF,FW",Eintracht Frankfurt,de Bundesliga,21-133,2004,5,,,,,,,,,,,,,,,,,,,,,Matches
96,Jaydon Amauri Banel,nl NED,"FW,MF",Burnley,eng Premier League,21-175,2004,0.1,,,,,,,,,,,,,,,,,,,,,Matches
97,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22-214,2003,0.4,,,,,,,,,,,,,,,,,,,,,Matches
98,Aurele Amenda,ch SUI,DF,Eintracht Frankfurt,de Bundesliga,22-255,2003,13.7,,,,,,,,,,,,,,,,,,,,,Matches
99,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,28-063,1998,21.8,,,,,,,,,,,,,,,,,,,,,Matches
100,Mohamed Amine Sbai,fr FRA,"MF,FW",Angers,fr Ligue 1,25-158,2000,17,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
101,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,fr Ligue 1,30-060,1996,11,,,,,,,,,,,,,,,,,,,,,Matches
102,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,29-167,1996,18.3,,,,,,,,,,,,,,,,,,,,,Matches
103,Samuel Amo-Ameyaw,eng ENG,"MF,DF",Strasbourg,fr Ligue 1,19-268,2006,7.4,,,,,,,,,,,,,,,,,,,,,Matches
104,Amorim,br BRA,MF,Genoa,it Serie A,20-329,2005,1.1,,,,,,,,,,,,,,,,,,,,,Matches
105,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,20-084,2006,3,,,,,,,,,,,,,,,,,,,,,Matches
106,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,de Bundesliga,25-338,2000,19.7,,,,,,,,,,,,,,,,,,,,,Matches
107,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25-210,2000,27.7,,,,,,,,,,,,,,,,,,,,,Matches
108,Sofyan Amrabat,ma MAR,MF,Real Betis,es La Liga,29-234,1996,8.7,,,,,,,,,,,,,,,,,,,,,Matches
109,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29-316,1996,28.5,,,,,,,,,,,,,,,,,,,,,Matches
110,Elliot Anderson,eng ENG,MF,Nottingham Forest,eng Premier League,23-157,2002,30.8,,,,,,,,,,,,,,,,,,,,,Matches
111,Tomoya Ando,jp JPN,DF,St Pauli,de Bundesliga,27-092,1999,9,,,,,,,,,,,,,,,,,,,,,Matches
112,Nícolas Andrade,br BRA,GK,Pisa,it Serie A,38-000,1988,6,,,,,,,,,,,,,,,,,,,,,Matches
113,André,br BRA,MF,Wolves,eng Premier League,24-270,2001,24.7,,,,,,,,,,,,,,,,,,,,,Matches
114,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35-252,1990,20.1,,,,,,,,,,,,,,,,,,,,,Matches
115,Robert Andrich,de GER,"DF,MF",Leverkusen,de Bundesliga,31-202,1994,24.6,,,,,,,,,,,,,,,,,,,,,Matches
116,Manuel Ángel,es ESP,MF,Real Madrid,es La Liga,22-028,2004,1,,,,,,,,,,,,,,,,,,,,,Matches
117,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,28-032,1998,2.3,,,,,,,,,,,,,,,,,,,,,Matches
118,Miguel Ángel Sierra,es ESP,FW,Sevilla,es La Liga,21-272,2004,0.7,,,,,,,,,,,,,,,,,,,,,Matches
119,Angeliño,es ESP,MF,Roma,it Serie A,29-098,1997,4.6,,,,,,,,,,,,,,,,,,,,,Matches
120,Samuele Angori,it ITA,MF,Pisa,it Serie A,22-187,2003,23.6,,,,,,,,,,,,,,,,,,,,,Matches
121,Nilson Angulo,ec ECU,MF,Sunderland,eng Premier League,22-297,2003,2.8,,,,,,,,,,,,,,,,,,,,,Matches
122,Faustino Anjorin,eng ENG,MF,Torino,it Serie A,24-140,2001,3,,,,,,,,,,,,,,,,,,,,,Matches
123,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,21-155,2004,17.9,,,,,,,,,,,,,,,,,,,,,Matches
124,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20-348,2005,4.1,,,,,,,,,,,,,,,,,,,,,Matches
125,Aaron Anselmino,ar ARG,DF,Strasbourg,fr Ligue 1,20-348,2005,0.2,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
126,Andrés Antañón,es ESP,MF,Celta Vigo,es La Liga,19-080,2007,0.2,,,,,,,,,,,,,,,,,,,,,Matches
127,Jaidon Anthony,eng ENG,MF,Burnley,eng Premier League,26-132,1999,24.5,,,,,,,,,,,,,,,,,,,,,Matches
128,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29-266,1996,27,,,,,,,,,,,,,,,,,,,,,Matches
129,Kyllian Antonio,fr FRA,DF,Lens,fr Ligue 1,18-098,2008,1.3,,,,,,,,,,,,,,,,,,,,,Matches
130,Antoniu,es ESP,MF,Espanyol,es La Liga,23-219,2002,1.3,,,,,,,,,,,,,,,,,,,,,Matches
131,Antony,br BRA,"MF,FW",Real Betis,es La Liga,26-047,2000,21.4,,,,,,,,,,,,,,,,,,,,,Matches
132,Youssef El-Arabi,ma MAR,FW,Nantes,fr Ligue 1,39-068,1987,10.2,,,,,,,,,,,,,,,,,,,,,Matches
133,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,30-194,1995,29.2,,,,,,,,,,,,,,,,,,,,,Matches
134,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23-263,2002,26.5,,,,,,,,,,,,,,,,,,,,,Matches
135,Juan Arango,ve VEN,MF,Girona,es La Liga,19-315,2006,0.2,,,,,,,,,,,,,,,,,,,,,Matches
136,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,27-036,1999,10.6,,,,,,,,,,,,,,,,,,,,,Matches
137,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29-288,1996,22.3,,,,,,,,,,,,,,,,,,,,,Matches
138,Antonio Arena,it ITA,FW,Roma,it Serie A,17-061,2009,0.3,,,,,,,,,,,,,,,,,,,,,Matches
139,Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,33-044,1993,20,,,,,,,,,,,,,,,,,,,,,Matches
140,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26-284,1999,15.8,,,,,,,,,,,,,,,,,,,,,Matches
141,Jeremy Arévalo,ec ECU,FW,Stuttgart,de Bundesliga,21-024,2005,0.4,,,,,,,,,,,,,,,,,,,,,Matches
142,Paul Argney,fr FRA,GK,Le Havre,fr Ligue 1,19-324,2006,1,,,,,,,,,,,,,,,,,,,,,Matches
143,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,20-358,2005,2.1,,,,,,,,,,,,,,,,,,,,,Matches
144,Jhon Arias,co COL,"FW,MF",Wolves,eng Premier League,28-203,1997,12.5,,,,,,,,,,,,,,,,,,,,,Matches
145,Juan Arizala,co COL,MF,Udinese,it Serie A,20-184,2005,0.8,,,,,,,,,,,,,,,,,,,,,Matches
146,Adam Armstrong,eng ENG,"FW,MF",Wolves,eng Premier League,29-061,1997,7.1,,,,,,,,,,,,,,,,,,,,,Matches
147,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,19-083,2007,5.5,,,,,,,,,,,,,,,,,,,,,Matches
148,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31-320,1994,20.6,,,,,,,,,,,,,,,,,,,,,Matches
149,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,25-140,2000,14,,,,,,,,,,,,,,,,,,,,,Matches
150,Love Arrhov,se SWE,FW,Eintracht Frankfurt,de Bundesliga,17-330,2008,0.2,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
151,Kervin Arriaga,hn HON,MF,Levante,es La Liga,28-097,1998,12.8,,,,,,,,,,,,,,,,,,,,,Matches
152,Arthur,br BRA,MF,Leverkusen,de Bundesliga,23-026,2003,11.6,,,,,,,,,,,,,,,,,,,,,Matches
153,Takuma Asano,jp JPN,"MF,FW",Mallorca,es La Liga,31-153,1994,5.4,,,,,,,,,,,,,,,,,,,,,Matches
154,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,23-058,2003,16,,,,,,,,,,,,,,,,,,,,,Matches
155,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,de Bundesliga,23-247,2002,21.6,,,,,,,,,,,,,,,,,,,,,Matches
